Email_Subject,Email_Content,Sending_Date,Sending_Time,Day,URL_Title,Coined.Word,Sender_Name,Sender_Title,Closing_Remarks,Sender_Email ,Logo,To,Label
URGENT REQUEST,"Are you available ?
No calls text only 9513072XXX",01/09/2020,na,na,na,Urgent,Y,"chancellor
berkeley university of california", EBST REGARDS  , cchristberkeley.edu@gmail.com,   na  ,NB,0
Quick question,I'm in a meeting and need help getting some Amazon Gift Cards,01/09/2020,na,na,na,Quick,Y,"University of California, Berkeley",na,XXX.subdomain.berkeley.edu,na,NB,0
,"Hello RECIPIENT

I am urgently seeking for a Clerical/Administrative Assistant to 
work for me on campus at their own free time while I am away on my work and 
earn basic wage $250 weekly.This is a flexible job that requires little to 
no prior experience .Let me know you are interested and I will fill you in.",10/19/19,2:22 PM, Sat,na,Job/Needed,Y,"*Professor David Card*
*Department of Economics*
*530 Evans Hall #3880*
*University of California Berkeley*
*Berkeley, CA*",Sincerely  ,dvdmson @ gmail . Com,na,NB,0
Ê vendor payment,Are you around? I need to pay a vendor with the blucard.,"12/27/18
 ",na,na,http://example.com/PHISHING_TEST/row3,"Gift Card, Meeting",Y,,na,ÊÊXXX.subdomain.berkeley.edu@gmail.com,na,NB,1
  Quick question,I'm in a meeting and need help getting some Amazon Gift Cards,"12/27/18
 ",na,na,http://example.com/PHISHING_TEST/row4,shared,Y,"University of California, Berkeley",na,XXX.subdomain.berkeley.edu,NA,,1
ÊXXX has shared a document on Google Docs with you,XXX has invited you to view the following document:,"5/3/2017
",na,na,http://example.com/PHISHING_TEST/row5,"invite, share",na,,na,ÊXXX@berkeley.edu,na,BCC,1
Message from human resources,"Dear XXXXX@berkeley.edu(link sends e-mail)

An information document has been sent to you by the Human Resources Department.

Click here to Login to view the document.  Thank you!",4/13/17,9:29:54 PM PDT,na,click here,HR,Y,"Berkeley University Of California HR Department
© 2017 The Regents of the University of California.  All rights reserved.",Thank you,HR@berkeley.edu,na,NB,0
Library Account,"dEAR sTUDENT,

yOUR ACCESS TO YOUR LIBRARY ACCOUNT IS EXPIRING SOON DUE TO INACTIVITY. tO
CONTINUE TO HAVE ACCESS TO THE LIBRARY SERVICES, YOU MUST REACTIVATE YOUR
ACCOUNT. fOR THIS PURPOSE, CLICK THE WEB ADDRESS BELOW OR COPY AND PASTE IT
INTO YOUR WEB BROWSER. a SUCCESSFUL LOGIN WILL ACTIVATE YOUR ACCOUNT AND
YOU WILL BE REDIRECTED TO YOUR LIBRARY PROFILE.

HTTPS://AUTH.BERKELEY.EDU/CAS/LOGIN?SERVICE=HTTPS%3A%2F%


iF YOU ARE NOT ABLE TO LOGIN, PLEASE CONTACT <nAME rEMOVED> AT
XXXXX@BERKELEY.EDU (LINK SENDS E-MAIL) FOR IMMEDIATE ASSISTANCE.",04/01/2017,2:09 PM,Sat,http://example.com/PHISHING_TEST/row7,"expiring soon, inactivity, ",Y,"University Library
University of California Berkeley","Sincerely,",na,,NB,1
Your Dropbox File,"Hello,
 
You just received a file through Dropbox Share Application.
Please click below and log in to view file.
 
View file
 
Every time a friend installs Dropbox, we'll give both of you 1 GB of
space for free! Need even more space? Upgrade your Dropbox and get 1 TB
(1,000 GB) of space",1/30/17,na,,view file,"file, dropbox",Y,The Dropbox Team,Happy Dropboxing.,sass@tamhsc.edu(link sends e-mail),Dropbox,B,0
,"Dear User,

This Message Is To Inform You That Your Access To Bcourses Will Soon Expire. You Will Have To Login To Your Account To Continue To Have Access To This Service.
You Need To Reactivate It Just By Logging In Through The Following Url. A Successful Login Will Activate Your Account And You Will Be Redirected To Your Bcourses Page.

Http:/Bcourses.Berkeley.Edu/Login_0Dzvfirgid322O0Ki22F0Izotk3Lpfyha62Pngfo4Oh4B40Fo4Wfmbl4Bel22Bmcb8Ynmkrd1Qjsmjmmbpho9Tsf3Jx2Lqgzijdxguwem8Fb8Yne7Xdtjsmbnypd4Cemhm/

If You Are Not Able To Login, Please Contact Danielle Patel At Dapatel@Berkeley.Edu(Link Sends E-Mail) For Immediate Assistance.",1/25/17,na,na,,"expire, login, reactive",Y,"Berkeley Security
University of California, Berkeley
510-643-6957","Sincerely,",dapatel@berkeley.edu,na,B,0
,,24 Jan 2017Ê,13:31:49,Tue,ADP portal,"tax, update",Y,na,"Yours Sincerely,",director.stics@boyaca.gov.co,na,NB,0
fEDeX sHIPMENT uPDATE,"Dear Customer,

We could not deliver your item.

You can review and print complete details of shipping duty on your order.

Thanks",01/03/2017,Na,Tue,PDF Attachment:  update_Form.pdf,"shipment, update",Na,na,Thanks,xxxxxx@berkeley.edu,FedEx,B,0
ÊImportant Announcement from Chancellor Nicholas B. Dirks,"Good Morning Berkeley Family,

Please read attached for an important announcement from Chancellor Nicholas B. Dirks",12/14/16,8:55 AM,Wed,1 attachment: shared Document.pdf,"important, chancellor",Y,"

chancellor","Thanks,",penweltm@miamioh.edu,na,B,0
Email Account Upgrade,"Dear User,

Someone else was trying to use your Berkeley ID to sign into iCloud via a web browser.

Date and Time: 28 October 2016, 1:38 PM
Browser: Firefox
Operating System: Windows
Location:Thailand


If the information above looks familiar, you can disregard this email.
If you have not recently and believe someone may be trying to access your account, you should Click Here <http://goo.gl/rk87KW>.",Ê10/28/2016Ê,4:38 PM,na,http://example.com/PHISHING_TEST/row13,upgrade,Y,,"Sincerely,",Êitcsshelp@berkeley.edu,na,B,1
Irregular Activity,"From: BankOfAmerica
Subject: Irregular Activity
Date: 10/20/2016 7:27 AM

We have detected irregular activity on your account on the date 10/20/2016. For your protection, we have temporary limited your account.
In order to regain full access to your account, you must verify this activity before you can continue using your account. We have sent you an attachment , open it and follow the steps to verify your account. Once completed, please allow up to 48h to update.

Copyright © 2016 BankOfAmerica, All rights reserve

IrregularActivityFile.html
",10/20/16,7:27 AM,na,,"protection, update, irregular activity",Y,"Copyright © 2016 BankOfAmerica, All rights reserve",na,,na,B,1
Messages containing Locky malware,"Hello,

Please sign the attached contract with our technical service company for 2016 ð 2017.
We would appreciate your quick response.",  24 Aug2 016Ê  ,20:29:58,Wed,http://example.com/PHISHING_TEST/row15, financial ,Y,(Digital-Signature: f0a0e01386d19b03736165288026cc97e325560c78700e95),"King regards,",ÊCurtis.8271@brasiltelecom.net.br,na,B,1
Messages containing Locky malware,"Hi,

The monthly financial statement is attached within the email.
Please review it before processing.",8/24/16,08:44:09,Wed,http://example.com/PHISHING_TEST/row16,financial,Y,(Topic-ID: b0b82053c611db43b3a1a568c0660cd72365964cb8b04ed5),"King regards,",ÊCurtis.8271@brasiltelecom.net.br,na,B,1
